date,II/112/1,II/113/1,II/114/1,II/131/1,II/132/1,II/292/1,II/297/1,II/298/1,II/472/1,II/924/1,II/931/1,II/949/1,II/951/1,II/952/1,II/957/1,II/1345/1,II/1346/1,II/1351/1,II/1352/1
2001-11-11,9.65,31.96,29.35,16.86,48.15,12.07,5.1,33.5,28.54,5.42,3.15,,,,,,,,
2001-11-18,9.66,31.91,29.44,16.96,48.25,12.05,5.2,33.45,28.57,5.41,3.16,,,,,,,,
2001-11-25,9.66,31.86,29.3,16.91,48.2,12.08,5.2,33.45,28.5,5.39,3.15,,,,,,,,
2001-12-02,9.63,31.8,29.44,16.86,48.25,12.07,5.0,33.45,28.46,5.38,3.17,,,,,,,,
2001-12-09,9.67,31.83,29.52,16.91,48.3,12.08,5.0,33.48,28.57,5.37,3.19,,,,,,,,
2001-12-16,9.69,31.86,29.52,16.81,48.25,12.07,5.2,33.52,28.7,5.38,3.2,,,,,,,,
2001-12-23,9.64,31.89,29.49,16.96,48.35,12.05,5.24,33.5,28.6,5.36,3.2,,,,,,,,
2001-12-30,9.54,31.91,29.5,17.06,48.4,12.03,5.28,33.52,28.48,5.34,3.22,,,,,,,,
2002-01-06,9.58,31.95,29.5,17.11,48.45,12.06,5.31,33.55,28.41,5.33,3.21,,,,,,,,
2002-01-13,9.65,31.93,29.46,17.06,48.4,12.08,5.3,33.58,28.46,5.34,3.21,,,,,,,,
2002-01-20,9.65,31.9,29.62,17.01,48.45,12.04,5.37,33.6,28.52,5.36,3.22,,,,,,,,
2002-01-27,9.58,31.88,29.46,17.06,48.35,12.03,5.0,33.6,28.4,5.35,3.22,,,,,,,,
2002-02-03,9.57,31.82,29.54,16.86,48.25,12.0,4.86,33.6,28.42,5.33,3.23,,,,,,,,
2002-02-10,9.65,31.8,29.45,16.71,48.15,12.02,4.86,33.5,28.46,5.31,3.22,,,,,,,,
2002-02-17,9.6,31.77,29.57,16.66,48.2,12.0,4.9,33.5,28.36,5.3,3.21,,,,,,,,
